0.0092,0.0932
0.0046,0.1139
0.0,0.0
1.0,0.0
0.0202,2.0
1.0202,2.0
0.0056,0.0029,0.0025,0.0133,0.0473,0.0180,0.0558,0.1798
0.00469938,0.00196392,0.00038577,0.00234969,0.0077154,0.00778554,0.03145779,0.07508487
0.0055007,0.002988,0.00045155,0.00275035,0.009031,0.0091131,0.03682185,0.08788805
0.0031992,0.00133728,0.00026268,0.0015996,0.0052536,0.00530136,0.02142036,0.05112708
.1179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.053,0.1949,0.0,0.0,0.0,0.0,0.0,0.0
0.0301,0.1159,0.5868,0.0,0.0,0.0,0.0,0.0
0.0001,0.0005,0.0769,0.8234,0.0,0.0,0.0,0.0
0.0,0.0,0.0019,0.1961,0.8180,0.0,0.0,0.0
0.0,0.0,0.0,0.005,0.1737,0.6902,0.0023,0.0
0.0,0.0,0.0,0.0007,0.0246,0.2707,0.8626,0.0275
0.0,0.0,0.0,0.0001,0.0073,0.055,0.3589,1.9761
0.2011,0.3113,0.6656,1.0253,1.0236,1.0159,1.2238,2.0036
